id,track,entreprise,ville,siren,prenom_dirigeant,nom_dirigeant,fonction,email,telephone,tel_type,linkedin,hook,source,statut_mail,statut_call,dernier_contact,next_touch,notes
D060,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D061,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D062,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D063,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D064,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D065,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D066,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D067,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D068,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D069,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D070,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D071,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D072,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D073,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D074,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D075,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D076,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D077,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D078,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D079,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
D080,CALL,,Lorient,,,,,,,,,,,,A_APPELER,,,
