id,nom,type,adresse,quartier_slot,telephone,email,decideur,vitrine_grande,rue_passante,salete_visible,avis_ou_enseigne,score,hook,statut,dernier_contact,next_touch,notes
slot_129,,coiffure,,chateau,,,,,,,,,slot salon de coiffure chateau,A_RECHERCHER,,,
slot_130,,pret_a_porter,,chateau,,,,,,,,,slot magasin vêtements chateau,A_RECHERCHER,,,
slot_131,,boulangerie,,chateau,,,,,,,,,slot boulangerie chateau,A_RECHERCHER,,,
slot_132,,restaurant,,chateau,,,,,,,,,slot restaurant chateau,A_RECHERCHER,,,
slot_133,,cafe,,chateau,,,,,,,,,slot café chateau,A_RECHERCHER,,,
slot_134,,pharmacie,,chateau,,,,,,,,,slot pharmacie chateau,A_RECHERCHER,,,
slot_135,,banque,,chateau,,,,,,,,,slot agence bancaire chateau,A_RECHERCHER,,,
slot_136,,coworking,,chateau,,,,,,,,,slot coworking chateau,A_RECHERCHER,,,
slot_137,,syndic,,chateau,,,,,,,,,slot syndic de copropriété chateau,A_RECHERCHER,,,
slot_138,,fleuriste,,chateau,,,,,,,,,slot fleuriste chateau,A_RECHERCHER,,,
slot_139,,bijouterie,,chateau,,,,,,,,,slot bijouterie chateau,A_RECHERCHER,,,
slot_140,,spa,,chateau,,,,,,,,,slot institut beauté chateau,A_RECHERCHER,,,
