nom,email,telephone,adresse,ville_zone,site,maps,note,nb_avis,statut,email_source,place_id,lat,lng,statut_crm,date_ajout
ALB Conciergerie - Gestion Locative Airbnb à Lorient & Environs,contact@albconciergerie.fr,06 34 95 41 39,"107 Rue Louis Roche, 56100 Lorient",Fouesnant,https://albconciergerie.fr/,https://maps.google.com/?cid=17788870856315224920&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,77,OPERATIONAL,page_contact,ChIJn8mQf-YyT2URWMP3WcvD3vY,47.7588638,-3.3774224,a_contacter,2026-08-12
Interhome,info@interhome.ch,02 23 17 26 76,"23 Rue Levavasseur, 35800 Dinard",Dinard,https://www.interhome.fr/services-sur-place/interhome-dinard-fr098/?partnerid=&utm_source=gmb&utm_campaign=fr098-dinard&utm_medium=gmb&utm_locale=fr-fr,https://maps.google.com/?cid=12379167885819904847&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,3.5,73,OPERATIONAL,page_contact,ChIJ-bd7L8SADkgRTwM4wZqjy6s,48.6337725,-2.0532038999999997,a_contacter,2026-08-12
Heaven Home - Conciergerie à Guingamp,contact@heaven-home.co,07 84 83 14 90,"23 Rue Gambetta, 22970 Ploumagoar",Saint-Brieuc,http://heaven-home.co/,https://maps.google.com/?cid=8657460140113716295&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.6,63,OPERATIONAL,site_accueil,ChIJ3aCNASWNEUgRR-SU1CB6JXg,48.5574869,-3.1353017000000003,a_contacter,2026-08-12
Bretagne emeraude conciergerie et multi services,bretagne-emeraude.conciergerie@bbox.fr,06 61 27 12 59,"2 Imp. d'Armor, 35260 Cancale",Saint-Malo,https://bretagne-emeraude-conciergerie.fr/,https://maps.google.com/?cid=10659444310326905573&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,63,OPERATIONAL,site_accueil,ChIJmf0RWcqdDkgR5QoYxB_07ZM,48.6846463,-1.8597218,a_contacter,2026-08-12
Conciergerie LA BRETONNE,conciergerie@la-bretonne.fr,06 23 48 61 69,"50 Kerarmoal Lieu-dit, 29870 Landéda",Brest,http://www.la-bretonne.fr/,https://maps.google.com/?cid=12933930013873527356&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,62,OPERATIONAL,site_accueil,ChIJR1cJZBZeDoMRPNqxGtKMfrM,48.6003495,-4.5953808,a_contacter,2026-08-12
Conciergerie Du Golfe,contact@conciergeriedugolfe.fr,07 85 16 34 53,"3 Pl. Olivier Delourme, 56000 Vannes",Vannes,http://conciergeriedugolfe.fr/,https://maps.google.com/?cid=908634469349806908&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.5,62,OPERATIONAL,site_accueil,ChIJP4oEfdcfEEgRPFNFWDwenAw,47.6657644,-2.7687779999999997,a_contacter,2026-08-12
la conciergerie de quiberon,laconciergeriedequiberon@outlook.fr,06 73 77 95 43,"28 Bd Anatole France, 56170 Quiberon",Quiberon,http://www.laconciergeriedequiberon.fr/,https://maps.google.com/?cid=860828600695588277&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.2,59,OPERATIONAL,site_accueil,ChIJmwEZLMx3EEgRtQX1LA1H8gs,47.4820323,-3.1160162,a_contacter,2026-08-12
Finistarmor : Conciergerie à Brest & dans le Finistère,bnb@conciergerie-finistarmor.fr,02 55 99 62 31,"25 Rue Robert Schuman, 29480 Le Relecq-Kerhuon",Brest,https://www.conciergerie-finistarmor.fr/,https://maps.google.com/?cid=2405069165504020667&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,56,OPERATIONAL,site_accueil,ChIJ1apOG0ixFkgRu8Ac1qmFYCE,48.397282999999995,-4.406178,a_contacter,2026-08-12
Conciergerie Bienvenue | Vannes - Auray - Carnac,conciergeriebienvenue@gmail.com,06 61 08 10 83,"128 Av. de Verdun, 56000 Vannes",Carnac,http://www.conciergeriebienvenue.com/,https://maps.google.com/?cid=13642663414567909251&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,55,OPERATIONAL,site_accueil,ChIJlQCp8xp4jIQRg7eJ9xd6VL0,47.6645955,-2.7373278,a_contacter,2026-08-12
Conciergerie Rennes Host - Conciergerie à Rennes,conciergerie@rennes-host.fr,06 19 72 94 44,"92 Rue Paul Féval, 35000 Rennes",Rennes,https://www.rennes-host.fr/contact,https://maps.google.com/?cid=10271158445628594122&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,54,OPERATIONAL,site_accueil,ChIJo8PkNW7FZycRyhdy9y98io4,48.1015572,-1.6767345,a_contacter,2026-08-12
Interhome,info@interhome.ch,02 99 20 08 20,"51 Rue Nicolas Bouvier, 35400 Saint-Malo",Saint-Malo,https://www.interhome.fr/services-sur-place/interhome-st-malo-fr084/?partnerid=&utm_source=gmb&utm_campaign=fr084-saint-malo&utm_medium=gmb&utm_locale=fr-fr,https://maps.google.com/?cid=18008588397629721726&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,3.9,53,OPERATIONAL,page_contact,ChIJs8HyT2-BDkgRfszw6rtb6_k,48.6473162,-2.0055411999999997,a_contacter,2026-08-12
Cocoonr Vannes-Morbihan - Agence de Conciergerie et Location,contact@cocoonr.fr,09 70 70 08 59,"10 Pl. de la Madeleine, 56000 Vannes",Vannes,https://cocoonr.fr/location-court-sejour/agence/morbihan/?arrival=&departure=&nb_persons=1,https://maps.google.com/?cid=8508988243503659393&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.7,52,OPERATIONAL,page_contact,ChIJt8XEu18fEEgRgbkClLn_FXY,47.6591792,-2.7720701,a_contacter,2026-08-12
Nomad Conciergerie Rennes Pauline & Gregory,contact@nomadconciergerie.com,07 56 91 92 48,"13 Rue de la Santé, 35000 Rennes",Rennes,https://www.nomadconciergerie.com/,https://maps.google.com/?cid=5308980732240204999&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,51,OPERATIONAL,site_accueil,ChIJWcWk8i3fDkgRxxSSCNlJrUk,48.1080706,-1.6864046,a_contacter,2026-08-12
Hestia Conciergerie,contact@hestiaconciergerie.bzh,06 08 21 13 91,"2 Rue des Ateliers, 29290 Saint-Renan",Brest,https://hestiaconciergerie.bzh/,https://maps.google.com/?cid=3415404784660713963&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,46,OPERATIONAL,site_accueil,ChIJUxIcCVOeBgYR6xHfWY70ZS8,48.4239773,-4.6075034,a_contacter,2026-08-12
LES MAESTROS,immobilier@lesmaestros.com,07 72 50 21 92,"13 Rue de Nivern Bihan, 22300 Lannion",Perros-Guirec,https://www.lesmaestros.com/?utm_source=Google+&utm_medium=Fiche+etablissement&utm_id=Local+Business,https://maps.google.com/?cid=903321407183601840&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,45,OPERATIONAL,site_accueil,ChIJ2zmia2wvEkgRsEAvqQg-iQw,48.768562599999996,-3.4470191,a_contacter,2026-08-12
Conciergerie hoomy - Pays Fouesnantais,happycontact@hoomy.fr,02 55 07 10 10,"79 Rte de Beg Meil, 29170 Fouesnant",Fouesnant,https://www.hoomy.fr/conciergeries/votre-conciergerie-a-fouesnant/,https://maps.google.com/?cid=6756770986233108620&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,39,OPERATIONAL,site_accueil,ChIJTfp8iCHlOIURjBgXv2nfxF0,47.8781837,-4.000272799999999,a_contacter,2026-08-12
SELIPA CONCIERGERIE,contact@selipaconciergerie.com,06 35 56 24 85,"81 Mail François Mitterrand, 35000 Rennes",Rennes,https://selipaconciergerie.com/,https://maps.google.com/?cid=420785971826073862&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,38,OPERATIONAL,page_contact,ChIJxcvC8SffDkgRBiEpqZzu1gU,48.108612,-1.692432,a_contacter,2026-08-12
La Conciergerie MM,hello@laconciergerie-mm.com,06 23 65 23 97,"70 Rue Saint-Hélier, 35000 Rennes",Rennes,https://laconciergerie-mm.com/,https://maps.google.com/?cid=6376298775668930729&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.5,35,OPERATIONAL,site_accueil,ChIJXWN8FDbfDkgRqTiBEfQpfVg,48.106105,-1.6682076,a_contacter,2026-08-12
La Conciergerie de Rennes,info@conciergerie-rennes.fr,06 48 17 84 04,"3 Rue du Vau Saint-Germain, 35000 Rennes",Rennes,http://www.conciergerie-rennes.fr/,https://maps.google.com/?cid=3754265309211214884&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,35,OPERATIONAL,site_accueil,ChIJyUmhb6bfDkgRJEQbZGjUGTQ,48.111073,-1.6773814,a_contacter,2026-08-12
JUSTUNTOIT - Conciergerie Airbnb Rennes,contact@justuntoit.fr,07 56 81 84 36,"118 Bd Villebois Mareuil, 35000 Rennes",Rennes,https://www.justuntoit.fr/,https://maps.google.com/?cid=17313173283701967625&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,34,OPERATIONAL,site_accueil,ChIJnVpwZoDfDkgRCcvWVV-_RPA,48.1010262,-1.65005,a_contacter,2026-08-12
Conciergerie Check In - Rennes,contact@checkinconciergerie.com,02 59 51 01 15,"37 Quai de la Prévalaye, 35000 Rennes",Rennes,http://www.checkinconciergerie.com/,https://maps.google.com/?cid=7990058972544503266&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.3,33,OPERATIONAL,site_accueil,ChIJyRLoxj7fDkgR4g3waE1k4m4,48.1080465,-1.6892806999999999,a_contacter,2026-08-12
La Conciergerie du Trégor,contact@laconciergeriedutregor.com,07 69 18 80 12,"69 Rue Anatole le Braz, 22700 Perros-Guirec",Perros-Guirec,http://www.laconciergeriedutregor.com/,https://maps.google.com/?cid=5050795279403061227&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.6,32,OPERATIONAL,site_accueil,ChIJibUHGvXiyi4R6w8K3osHGEY,48.8077946,-3.4420666,a_contacter,2026-08-12
Key Cosy - conciergerie rennaise,laura.cumunel@hotmail.fr,06 98 84 81 75,"55 Bd de la Tour d'Auvergne, 35000 Rennes",Rennes,https://www.keycosy.fr/,https://maps.google.com/?cid=1441644210687149828&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,32,OPERATIONAL,site_accueil,ChIJCbHh32XfDkgRBIeBfsW_ARQ,48.10353,-1.684137,a_contacter,2026-08-12
Marie Conciergerie,marie@marieconciergerie.com,06 22 47 03 87,"48b Rue de Saint-Médard, 35250 Saint-Aubin-d'Aubigné",Rennes,http://www.marieconciergerie.com/,https://maps.google.com/?cid=6710276215706154140&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,31,OPERATIONAL,page_contact,ChIJJ7wbAhzFDkgRnPTqZaqwH10,48.2631239,-1.6098818,a_contacter,2026-08-12
CLG IMMOBILIER,contact@clg-immobilier.fr,02 98 57 26 79,"41 Rue Jean Charcot, 29950 Bénodet",Bénodet,http://www.clg-immobilier.fr/?utm_source=gmb,https://maps.google.com/?cid=7705254511098016261&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.7,30,OPERATIONAL,page_contact,ChIJPecMdPbSEEgRBTL5VSeQ7mo,47.877659,-4.10719,a_contacter,2026-08-12
Conciergerie hoomy - Presqu'île de Rhuys,happycontact@hoomy.fr,02 55 07 10 10,"27 Rue du Général de Gaulle, 56370 Sarzeau",Auray,https://www.hoomy.fr/conciergeries/votre-conciergerie-sur-la-presqu-ile-de-rhuys/,https://maps.google.com/?cid=12360182057335813630&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,3.4,29,OPERATIONAL,site_accueil,ChIJl5oMsc8DEEgR_nWoFhgwiKs,47.526254099999996,-2.7718724999999997,a_contacter,2026-08-12
Adely Services & Intendance,contact@adely.fr,02 98 70 60 65,"14 Rue Jean Charcot, 29950 Bénodet",Bénodet,http://www.adely.fr/,https://maps.google.com/?cid=67953407827248157&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,28,OPERATIONAL,site_accueil,ChIJueQ0jfDSEEgRHQTSrkNr8QA,47.8766311,-4.1122165,a_contacter,2026-08-12
Alé Conciergerie,hello@aleconciergerie.com,06 18 06 87 27,"Quai d'Aiguillon, 29900 Concarneau",Concarneau,https://aleconciergerie.com/,https://maps.google.com/?cid=7507109062924277120&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,28,OPERATIONAL,site_accueil,ChIJfTT8fG_bEEgRgJW3GeubLmg,47.873215300000005,-3.9175526,a_contacter,2026-08-12
EV'Conciergerie,ev.conciergerie@gmail.com,06 21 67 05 28,"98 Bd de la Résistance, 56000 Vannes",Vannes,https://ev-conciergerie.fr/,https://maps.google.com/?cid=15586521647113062809&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,28,OPERATIONAL,site_accueil,ChIJr9rCRekfEEgRmUkcbNtyTtg,47.6424964,-2.7770104000000004,a_contacter,2026-08-12
Breizh key conciergerie & Consigne bagage,contact@mysite.com,07 44 15 89 38,"60 Bd Cosmao Dumanoir, 56100 Lorient",Lorient,https://www.breizhkey.com/,https://maps.google.com/?cid=16781826800967886215&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.4,27,OPERATIONAL,site_accueil,ChIJgfpf6XdfEEgRhyXSwY8G5eg,47.7538159,-3.3676475999999997,a_contacter,2026-08-12
Conciergerie M'Cosy avec Welcome Host,contact@welcomehost.fr,06 63 28 47 68,"Rte du Porho, 56250 Saint-Nolff",Vannes,https://www.welcomehost.fr/conciergerie-airbnb-morbihan/,https://maps.google.com/?cid=8563701288074119619&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,27,OPERATIONAL,page_contact,ChIJtdXvjIMtl2gRw4k29vJg2HY,47.6757129,-2.7022622999999997,a_contacter,2026-08-12
GM CONCIERGERIE & CO.,contact@gmconciergerie.com,06 62 64 80 52,"34 Rue Frédéric le Guyader, 35200 Rennes",Rennes,https://gmconciergerie.com/,https://maps.google.com/?cid=15999280239103279924&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,26,OPERATIONAL,page_contact,ChIJG3XNG5rhDkgRNIOtEZzcCN4,48.0864076,-1.698675,a_contacter,2026-08-12
Conciergerie MA MAISON DE VACANCES,contact@mamaisondevacances.com,06 58 62 85 85,"1509 Roz ar C'had, 29140 Melgven",Concarneau,https://mamaisondevacances.com/,https://maps.google.com/?cid=391264430546545170&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,25,OPERATIONAL,site_accueil,ChIJpxepMtDbEEgREur4M-0MbgU,47.897295899999996,-3.8087113,a_contacter,2026-08-12
Fanny Lechatellier Conciergerie La Passe Aux Moutons,lapasseauxmoutons@gmail.com,06 22 73 80 42,"All. du Grand Large, 29670 Locquénolé",Morlaix,http://www.lapasseauxmoutons.fr/,https://maps.google.com/?cid=12083177710295770930&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,24,OPERATIONAL,site_accueil,ChIJVemyz7JhEUgRMucYrBsSsKc,48.6261958,-3.8709055,a_contacter,2026-08-12
la bretonnerie conciergerie,labretonnerie.conciergerie@gmail.com,06 50 71 58 35,"Rue des Elfes, 35800 Dinard",Dinard,https://www.labretonnerie-conciergerie.fr/,https://maps.google.com/?cid=10985679174491025851&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,22,OPERATIONAL,site_accueil,ChIJS2_uetOHDkgRu7HxKwH5dJg,48.6203327,-2.0598020999999997,a_contacter,2026-08-12
L' Echappée Breizh Conciergerie,contact@lechappeebreizh.com,06 99 34 34 95,"3 Rue Lue Vras, 29900 Concarneau",Concarneau,https://lechappeebreizh.com/,https://maps.google.com/?cid=17122028354180941159&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,19,OPERATIONAL,site_accueil,ChIJFz0ElKrDI00RZwUfXRKqne0,47.885514799999996,-3.9386868,a_contacter,2026-08-12
Cocoonr Dinard Côte d'Emeraude - Agence de Conciergerie et location,contact@cocoonr.fr,09 70 70 08 59,"2 bis Bd Féart, 35800 Dinard",Dinard,https://cocoonr.fr/location-court-sejour/agence/dinard-cote-demeraude/?arrival=&departure=&nb_persons=1,https://maps.google.com/?cid=6360566035851386147&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.7,19,OPERATIONAL,page_contact,ChIJEdXFAKmBDkgRIx1WIRxFRVg,48.634152099999994,-2.0548528,a_contacter,2026-08-12
Ma Conciergerie Sérénité,maconciergerieserenite@gmail.com,06 58 23 04 68,"Rue Dauphine, 35400 Saint-Malo",Saint-Malo,https://www.maconciergerieserenite.com/,https://maps.google.com/?cid=17624940568018528505&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,18,OPERATIONAL,page_contact,ChIJM7zVNlCBDkgR-agd0BBemPQ,48.6392799,-2.0185324,a_contacter,2026-08-12
"Atout Services & Les Clefs de Rhuys (Services pour Particuliers, Propriétaires , Professionnels)",atout_services@outlook.fr,06 77 38 60 68,"Roche Blanche, 56370 Sarzeau",Sarzeau,https://www.atout-services-sarzeau.fr/?utm_medium=referral&utm_source=gmb&utm_campaign=lnk-gmb,https://maps.google.com/?cid=7194970692291049139&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.5,18,OPERATIONAL,site_accueil,ChIJx-OmjngDEEgRs7ZaW7mr2WM,47.5266874,-2.7596818,a_contacter,2026-08-12
Autrimo - Conciergerie Meublé de Tourisme - Paimpol,contact@autrimo.fr,07 44 97 86 59,"64 bis Av. du Général de Gaulle, 22500 Paimpol",Paimpol,http://www.autrimo.fr/,https://maps.google.com/?cid=12372216132286414578&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,17,OPERATIONAL,site_accueil,ChIJdYlP7V0bEkgR8v5JgQXxsqs,48.7763523,-3.0489710999999997,a_contacter,2026-08-12
BreizhCoast Conciergerie Airbnb & Booking - Finistère,bzh.conciergerie@gmail.com,07 78 57 52 02,"1 Allée Jacques DEMY, 29000 Quimper",Perros-Guirec,https://breizhcoast-conciergerie.fr/,https://maps.google.com/?cid=16569489495006662315&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,17,OPERATIONAL,site_accueil,ChIJZeVky6yXMEERq05wI-im8uU,47.9963152,-4.1190885999999995,a_contacter,2026-08-12
Cocoonr Carnac - La Trinité-sur-Mer - Agence de Conciergerie et Location,contact@cocoonr.fr,09 70 70 08 59,"20 ZA Mané Lenn, 56950, 56950 Crach",Carnac,https://cocoonr.fr/location-court-sejour/agence/carnac-la-trinite-sur-mer/?arrival=&departure=&nb_persons=1,https://maps.google.com/?cid=7369479415519614450&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,16,OPERATIONAL,page_contact,ChIJJboWMx4TEEgR8pWZtXumRWY,47.6056939,-2.9949787999999997,a_contacter,2026-08-12
Conciergerie de Quimper Bretagne Occidentale,contact@quimper.bzh,02 98 98 71 77,"7 Rue du Guéodet, 29000 Quimper",Quimper,http://www.quimper-bretagne-occidentale.bzh/,https://maps.google.com/?cid=13711423414422550908&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,16,OPERATIONAL,site_accueil,ChIJb7a0t8_VEEgRfDmh_fLCSL4,47.996191800000005,-4.1035727,a_contacter,2026-08-12
