nom,email,telephone,adresse,ville_zone,site,maps,note,nb_avis,statut_crm,date_ajout,email_source,place_id
Nomad Conciergerie Rennes Pauline & Gregory,contact@nomadconciergerie.com,07 56 91 92 48,"13 Rue de la Santé, 35000 Rennes",Rennes,https://www.nomadconciergerie.com/,https://maps.google.com/?cid=5308980732240204999&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,51,a_contacter,2026-08-12,site_accueil,ChIJWcWk8i3fDkgRxxSSCNlJrUk
Hestia Conciergerie,contact@hestiaconciergerie.bzh,06 08 21 13 91,"2 Rue des Ateliers, 29290 Saint-Renan",Brest,https://hestiaconciergerie.bzh/,https://maps.google.com/?cid=3415404784660713963&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,46,a_contacter,2026-08-12,site_accueil,ChIJUxIcCVOeBgYR6xHfWY70ZS8
LES MAESTROS,immobilier@lesmaestros.com,07 72 50 21 92,"13 Rue de Nivern Bihan, 22300 Lannion",Perros-Guirec,https://www.lesmaestros.com/?utm_source=Google+&utm_medium=Fiche+etablissement&utm_id=Local+Business,https://maps.google.com/?cid=903321407183601840&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,45,a_contacter,2026-08-12,site_accueil,ChIJ2zmia2wvEkgRsEAvqQg-iQw
Conciergerie hoomy - Pays Fouesnantais,happycontact@hoomy.fr,02 55 07 10 10,"79 Rte de Beg Meil, 29170 Fouesnant",Fouesnant,https://www.hoomy.fr/conciergeries/votre-conciergerie-a-fouesnant/,https://maps.google.com/?cid=6756770986233108620&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,39,a_contacter,2026-08-12,site_accueil,ChIJTfp8iCHlOIURjBgXv2nfxF0
SELIPA CONCIERGERIE,contact@selipaconciergerie.com,06 35 56 24 85,"81 Mail François Mitterrand, 35000 Rennes",Rennes,https://selipaconciergerie.com/,https://maps.google.com/?cid=420785971826073862&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,38,a_contacter,2026-08-12,page_contact,ChIJxcvC8SffDkgRBiEpqZzu1gU
La Conciergerie MM,hello@laconciergerie-mm.com,06 23 65 23 97,"70 Rue Saint-Hélier, 35000 Rennes",Rennes,https://laconciergerie-mm.com/,https://maps.google.com/?cid=6376298775668930729&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.5,35,a_contacter,2026-08-12,site_accueil,ChIJXWN8FDbfDkgRqTiBEfQpfVg
La Conciergerie de Rennes,info@conciergerie-rennes.fr,06 48 17 84 04,"3 Rue du Vau Saint-Germain, 35000 Rennes",Rennes,http://www.conciergerie-rennes.fr/,https://maps.google.com/?cid=3754265309211214884&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,35,a_contacter,2026-08-12,site_accueil,ChIJyUmhb6bfDkgRJEQbZGjUGTQ
Conciergerie Check In - Rennes,contact@checkinconciergerie.com,02 59 51 01 15,"37 Quai de la Prévalaye, 35000 Rennes",Rennes,http://www.checkinconciergerie.com/,https://maps.google.com/?cid=7990058972544503266&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.3,33,a_contacter,2026-08-12,site_accueil,ChIJyRLoxj7fDkgR4g3waE1k4m4
La Conciergerie du Trégor,contact@laconciergeriedutregor.com,07 69 18 80 12,"69 Rue Anatole le Braz, 22700 Perros-Guirec",Perros-Guirec,http://www.laconciergeriedutregor.com/,https://maps.google.com/?cid=5050795279403061227&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.6,32,a_contacter,2026-08-12,site_accueil,ChIJibUHGvXiyi4R6w8K3osHGEY
Key Cosy - conciergerie rennaise,laura.cumunel@hotmail.fr,06 98 84 81 75,"55 Bd de la Tour d'Auvergne, 35000 Rennes",Rennes,https://www.keycosy.fr/,https://maps.google.com/?cid=1441644210687149828&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,32,a_contacter,2026-08-12,site_accueil,ChIJCbHh32XfDkgRBIeBfsW_ARQ
Marie Conciergerie,marie@marieconciergerie.com,06 22 47 03 87,"48b Rue de Saint-Médard, 35250 Saint-Aubin-d'Aubigné",Rennes,http://www.marieconciergerie.com/,https://maps.google.com/?cid=6710276215706154140&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,31,a_contacter,2026-08-12,page_contact,ChIJJ7wbAhzFDkgRnPTqZaqwH10
CLG IMMOBILIER,contact@clg-immobilier.fr,02 98 57 26 79,"41 Rue Jean Charcot, 29950 Bénodet",Bénodet,http://www.clg-immobilier.fr/?utm_source=gmb,https://maps.google.com/?cid=7705254511098016261&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.7,30,a_contacter,2026-08-12,page_contact,ChIJPecMdPbSEEgRBTL5VSeQ7mo
Adely Services & Intendance,contact@adely.fr,02 98 70 60 65,"14 Rue Jean Charcot, 29950 Bénodet",Bénodet,http://www.adely.fr/,https://maps.google.com/?cid=67953407827248157&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,28,a_contacter,2026-08-12,site_accueil,ChIJueQ0jfDSEEgRHQTSrkNr8QA
Alé Conciergerie,hello@aleconciergerie.com,06 18 06 87 27,"Quai d'Aiguillon, 29900 Concarneau",Concarneau,https://aleconciergerie.com/,https://maps.google.com/?cid=7507109062924277120&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,28,a_contacter,2026-08-12,site_accueil,ChIJfTT8fG_bEEgRgJW3GeubLmg
EV'Conciergerie,ev.conciergerie@gmail.com,06 21 67 05 28,"98 Bd de la Résistance, 56000 Vannes",Vannes,https://ev-conciergerie.fr/,https://maps.google.com/?cid=15586521647113062809&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,28,a_contacter,2026-08-12,site_accueil,ChIJr9rCRekfEEgRmUkcbNtyTtg
Breizh key conciergerie & Consigne bagage,contact@mysite.com,07 44 15 89 38,"60 Bd Cosmao Dumanoir, 56100 Lorient",Lorient,https://www.breizhkey.com/,https://maps.google.com/?cid=16781826800967886215&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.4,27,a_contacter,2026-08-12,site_accueil,ChIJgfpf6XdfEEgRhyXSwY8G5eg
Conciergerie M'Cosy avec Welcome Host,contact@welcomehost.fr,06 63 28 47 68,"Rte du Porho, 56250 Saint-Nolff",Vannes,https://www.welcomehost.fr/conciergerie-airbnb-morbihan/,https://maps.google.com/?cid=8563701288074119619&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,27,a_contacter,2026-08-12,page_contact,ChIJtdXvjIMtl2gRw4k29vJg2HY
GM CONCIERGERIE & CO.,contact@gmconciergerie.com,06 62 64 80 52,"34 Rue Frédéric le Guyader, 35200 Rennes",Rennes,https://gmconciergerie.com/,https://maps.google.com/?cid=15999280239103279924&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,26,a_contacter,2026-08-12,page_contact,ChIJG3XNG5rhDkgRNIOtEZzcCN4
Conciergerie MA MAISON DE VACANCES,contact@mamaisondevacances.com,06 58 62 85 85,"1509 Roz ar C'had, 29140 Melgven",Concarneau,https://mamaisondevacances.com/,https://maps.google.com/?cid=391264430546545170&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,25,a_contacter,2026-08-12,site_accueil,ChIJpxepMtDbEEgREur4M-0MbgU
Fanny Lechatellier Conciergerie La Passe Aux Moutons,lapasseauxmoutons@gmail.com,06 22 73 80 42,"All. du Grand Large, 29670 Locquénolé",Morlaix,http://www.lapasseauxmoutons.fr/,https://maps.google.com/?cid=12083177710295770930&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,24,a_contacter,2026-08-12,site_accueil,ChIJVemyz7JhEUgRMucYrBsSsKc
la bretonnerie conciergerie,labretonnerie.conciergerie@gmail.com,06 50 71 58 35,"Rue des Elfes, 35800 Dinard",Dinard,https://www.labretonnerie-conciergerie.fr/,https://maps.google.com/?cid=10985679174491025851&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,22,a_contacter,2026-08-12,site_accueil,ChIJS2_uetOHDkgRu7HxKwH5dJg
L' Echappée Breizh Conciergerie,contact@lechappeebreizh.com,06 99 34 34 95,"3 Rue Lue Vras, 29900 Concarneau",Concarneau,https://lechappeebreizh.com/,https://maps.google.com/?cid=17122028354180941159&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,19,a_contacter,2026-08-12,site_accueil,ChIJFz0ElKrDI00RZwUfXRKqne0
Ma Conciergerie Sérénité,maconciergerieserenite@gmail.com,06 58 23 04 68,"Rue Dauphine, 35400 Saint-Malo",Saint-Malo,https://www.maconciergerieserenite.com/,https://maps.google.com/?cid=17624940568018528505&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,18,a_contacter,2026-08-12,page_contact,ChIJM7zVNlCBDkgR-agd0BBemPQ
"Atout Services & Les Clefs de Rhuys (Services pour Particuliers, Propriétaires , Professionnels)",atout_services@outlook.fr,06 77 38 60 68,"Roche Blanche, 56370 Sarzeau",Sarzeau,https://www.atout-services-sarzeau.fr/?utm_medium=referral&utm_source=gmb&utm_campaign=lnk-gmb,https://maps.google.com/?cid=7194970692291049139&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.5,18,a_contacter,2026-08-12,site_accueil,ChIJx-OmjngDEEgRs7ZaW7mr2WM
Autrimo - Conciergerie Meublé de Tourisme - Paimpol,contact@autrimo.fr,07 44 97 86 59,"64 bis Av. du Général de Gaulle, 22500 Paimpol",Paimpol,http://www.autrimo.fr/,https://maps.google.com/?cid=12372216132286414578&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,17,a_contacter,2026-08-12,site_accueil,ChIJdYlP7V0bEkgR8v5JgQXxsqs
BreizhCoast Conciergerie Airbnb & Booking - Finistère,bzh.conciergerie@gmail.com,07 78 57 52 02,"1 Allée Jacques DEMY, 29000 Quimper",Perros-Guirec,https://breizhcoast-conciergerie.fr/,https://maps.google.com/?cid=16569489495006662315&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,17,a_contacter,2026-08-12,site_accueil,ChIJZeVky6yXMEERq05wI-im8uU
Conciergerie de Quimper Bretagne Occidentale,contact@quimper.bzh,02 98 98 71 77,"7 Rue du Guéodet, 29000 Quimper",Quimper,http://www.quimper-bretagne-occidentale.bzh/,https://maps.google.com/?cid=13711423414422550908&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,16,a_contacter,2026-08-12,site_accueil,ChIJb7a0t8_VEEgRfDmh_fLCSL4
K.CONCIERGERIE RENNES,jacques@martin.com,06 60 22 09 17,"11 Rte de Montgerval, 35520 La Mézière",Rennes,https://www.k-conciergerie.fr/,https://maps.google.com/?cid=6049049321606576709&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,16,a_contacter,2026-08-12,page_contact,ChIJlzYFyo_nDkgRRXotC0-K8lM
Conciergerie Les Chaleureux,contact@leschaleureux.fr,06 10 79 25 16,"Rue de Verdun, 29160 Crozon",Brest,https://leschaleureux.fr/,https://maps.google.com/?cid=15693298147277167044&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,14,a_contacter,2026-08-12,site_accueil,ChIJF6dmeS7BFkgRxFnAroTLydk
Breizh Home Conciergerie,breizhhomeconciergerie@outlook.fr,06 27 95 42 05,"Chem. du Heurtault, 22680 Binic-Étables-sur-Mer",Saint-Brieuc,http://www.breizhhomeconciergerie.fr/,https://maps.google.com/?cid=16261673888304389784&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,14,a_contacter,2026-08-12,site_accueil,ChIJ24d9Gd8OyCoRmN6gTT4SreE
Conciergerie Maison Magnifique,contact@maisonmagnifique.fr,02 97 31 88 63,"Kerivaud, 56740 Locmariaquer",Auray,https://www.maisonmagnifique.fr/,https://maps.google.com/?cid=673821552116958840&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,13,a_contacter,2026-08-12,site_accueil,ChIJAeJ0PQllE6UReAbvryHlWQk
L'Eaurizon Conciergerie,https://www.leaurizon.fr/contact/,06 29 84 27 17,"Ménez Crenn, 29810 Plouarzel",Brest,https://www.leaurizon.fr/,https://maps.google.com/?cid=16605845899797437254&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,13,a_contacter,2026-08-12,site_accueil,ChIJi3w0432XFkgRRptNRN3Qc-Y
Heol Conciergerie,heol.conciergerie@yahoo.com,06 59 13 56 14,29140 Melgven,Concarneau,https://stephaniefaoucher.wixsite.com/heol-conciergerie,https://maps.google.com/?cid=9623964193423934297&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,13,a_contacter,2026-08-12,site_accueil,ChIJ0-3o-QJZ4QURWcMcqHEwj4U
Madame est Servie - Conciergerie,cg.madameestservie@gmail.com,06 45 09 28 76,"Rte du Grannec, 22730 Trégastel",Perros-Guirec,https://www.madame-est-servie.com/,https://maps.google.com/?cid=13419835699555656988&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.7,13,a_contacter,2026-08-12,site_accueil,ChIJSYmCyPEYB0cRHOUeqHfVPLo
Boris Kermarrec - Conciergerie Intendance maison secondaire,hello@altea-homes.com,06 51 45 09 92,"8 Rue des Ajoncs, 29630 Plougasnou",Morlaix,https://www.leggettpm.com/fr/property-manager/boris-kermarrec/,https://maps.google.com/?cid=16167502090768138553&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,12,a_contacter,2026-08-12,site_accueil,ChIJAQ_2wLrfE0gROcGeEX6BXuA
Gward Conciergerie - Vannes & Golfe du Morbihan,gward.conciergerie@gmail.com,06 33 46 79 83,"5 Rue de Bernus, 56000 Vannes",Auray,https://gward-conciergerie.fr/,https://maps.google.com/?cid=16695611342518304415&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,11,a_contacter,2026-08-12,site_accueil,ChIJU2nHK31NSmQRnz7JEg-6suc
L’AGENCE 1907 | Conciergerie | Agence immobilière,contact@lagence1907.com,06 48 91 48 35,"8 Rue Dumont, 35800 Dinard",Dinard,https://lagence1907.com/,https://maps.google.com/?cid=10100481642338030565&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,11,a_contacter,2026-08-12,site_accueil,ChIJB-YchmEzbwYR5ZPp_4keLIw
L'investisseur Rennais - Conciergerie Rennes,linvestisseurennais@gmail.com,06 85 06 95 43,"22 Rue du Puits Jacob, 35000 Rennes",Rennes,https://www.linvestisseur-rennais.fr/,https://maps.google.com/?cid=4177734338572014050&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,11,a_contacter,2026-08-12,site_accueil,ChIJGQm5fpLfDkgR4lGJED9L-jk
LNH CONCIERGERIE,contact@lnh-conciergerie.com,06 95 29 59 25,"20 Av. de Tarente, 29200 Brest",Brest,http://www.lnh-conciergerie.com/,https://maps.google.com/?cid=11908763924350150396&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,10,a_contacter,2026-08-12,site_accueil,ChIJgwV0beCy7wAR_KbgoLFtRKU
La conciergerie,contact@laconciergerie.org,02 98 82 87 70,"1 Rue Haroun Tazieff, 29000 Quimper",Quimper,http://www.laconciergerie.org/,https://maps.google.com/?cid=5496067934987378315&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.2,9,a_contacter,2026-08-12,site_accueil,ChIJYYRPtLLXEEgRi15W3qr0RUw
Nooma &Co - Conciergerie Airbnb à Rennes,hello@nooma.fr,06 75 62 24 81,"8 Rue du Sapeur Michel Jouan, 35000 Rennes",Rennes,https://nooma.fr/,https://maps.google.com/?cid=2484523699668714617&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,9,a_contacter,2026-08-12,site_accueil,ChIJvzonAhbfDkgReQTLKiTNeiI
