id,nom,vertical,ville,site,telephone,mobile_gerant,email,pubs_actives,landing_lead,avis_google_gt20,multi_villes,score,statut,source,mots_cles_ad_library,hook,hook_type,notes,date_ajout,derniere_relance,decideur,resultat_appel,douleur_rappel,demo_planifiee,close,sequence_step,last_touch_at,next_touch_at,touches_count
SLOT-013,[À TROUVER] Installateur pac_clim #1 — Saint-Étienne,pac_clim,Saint-Étienne,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Chercher dans Ad Library + Maps: pompe à chaleur OR climatisation OR chauffagiste RGE / Saint-Étienne. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-014,[À TROUVER] Installateur reno #1 — Toulon,reno,Toulon,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,isolation OR MaPrimeRénov OR rénovation énergétique OR menuiserie,,,Chercher dans Ad Library + Maps: isolation OR MaPrimeRénov OR rénovation énergétique OR menuiserie / Toulon. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-015,[À TROUVER] Installateur solaire #1 — Le Havre,solaire,Le Havre,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,panneaux solaires OR photovoltaïque OR devis solaire,,,Chercher dans Ad Library + Maps: panneaux solaires OR photovoltaïque OR devis solaire / Le Havre. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-016,[À TROUVER] Installateur pac_clim #1 — Grenoble,pac_clim,Grenoble,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Chercher dans Ad Library + Maps: pompe à chaleur OR climatisation OR chauffagiste RGE / Grenoble. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-017,[À TROUVER] Installateur pac_clim #1 — Dijon,pac_clim,Dijon,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Chercher dans Ad Library + Maps: pompe à chaleur OR climatisation OR chauffagiste RGE / Dijon. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-018,[À TROUVER] Installateur pac_clim #1 — Angers,pac_clim,Angers,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Chercher dans Ad Library + Maps: pompe à chaleur OR climatisation OR chauffagiste RGE / Angers. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-019,[À TROUVER] Installateur reno #1 — Nîmes,reno,Nîmes,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,isolation OR MaPrimeRénov OR rénovation énergétique OR menuiserie,,,Chercher dans Ad Library + Maps: isolation OR MaPrimeRénov OR rénovation énergétique OR menuiserie / Nîmes. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-020,[À TROUVER] Installateur solaire #1 — Villeurbanne,solaire,Villeurbanne,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,panneaux solaires OR photovoltaïque OR devis solaire,,,Chercher dans Ad Library + Maps: panneaux solaires OR photovoltaïque OR devis solaire / Villeurbanne. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-021,[À TROUVER] Installateur pac_clim #1 — Clermont-Ferrand,pac_clim,Clermont-Ferrand,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Chercher dans Ad Library + Maps: pompe à chaleur OR climatisation OR chauffagiste RGE / Clermont-Ferrand. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-022,[À TROUVER] Installateur pac_clim #1 — Aix-en-Provence,pac_clim,Aix-en-Provence,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Chercher dans Ad Library + Maps: pompe à chaleur OR climatisation OR chauffagiste RGE / Aix-en-Provence. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-023,[À TROUVER] Installateur pac_clim #1 — Brest,pac_clim,Brest,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Chercher dans Ad Library + Maps: pompe à chaleur OR climatisation OR chauffagiste RGE / Brest. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-024,[À TROUVER] Installateur reno #1 — Limoges,reno,Limoges,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,isolation OR MaPrimeRénov OR rénovation énergétique OR menuiserie,,,Chercher dans Ad Library + Maps: isolation OR MaPrimeRénov OR rénovation énergétique OR menuiserie / Limoges. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-025,[À TROUVER] Installateur solaire #1 — Tours,solaire,Tours,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,panneaux solaires OR photovoltaïque OR devis solaire,,,Chercher dans Ad Library + Maps: panneaux solaires OR photovoltaïque OR devis solaire / Tours. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-026,[À TROUVER] Installateur pac_clim #1 — Amiens,pac_clim,Amiens,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Chercher dans Ad Library + Maps: pompe à chaleur OR climatisation OR chauffagiste RGE / Amiens. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-027,[À TROUVER] Installateur pac_clim #1 — Perpignan,pac_clim,Perpignan,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Chercher dans Ad Library + Maps: pompe à chaleur OR climatisation OR chauffagiste RGE / Perpignan. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-028,[À TROUVER] Installateur pac_clim #1 — Metz,pac_clim,Metz,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Chercher dans Ad Library + Maps: pompe à chaleur OR climatisation OR chauffagiste RGE / Metz. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-029,[À TROUVER] Installateur reno #1 — Besançon,reno,Besançon,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,isolation OR MaPrimeRénov OR rénovation énergétique OR menuiserie,,,Chercher dans Ad Library + Maps: isolation OR MaPrimeRénov OR rénovation énergétique OR menuiserie / Besançon. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-030,[À TROUVER] Installateur solaire #1 — Orléans,solaire,Orléans,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,panneaux solaires OR photovoltaïque OR devis solaire,,,Chercher dans Ad Library + Maps: panneaux solaires OR photovoltaïque OR devis solaire / Orléans. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-031,[À TROUVER] Installateur pac_clim #1 — Rouen,pac_clim,Rouen,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Chercher dans Ad Library + Maps: pompe à chaleur OR climatisation OR chauffagiste RGE / Rouen. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-032,[À TROUVER] Installateur pac_clim #1 — Mulhouse,pac_clim,Mulhouse,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Chercher dans Ad Library + Maps: pompe à chaleur OR climatisation OR chauffagiste RGE / Mulhouse. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-033,[À TROUVER] Installateur pac_clim #1 — Caen,pac_clim,Caen,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Chercher dans Ad Library + Maps: pompe à chaleur OR climatisation OR chauffagiste RGE / Caen. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-034,[À TROUVER] Installateur reno #1 — Nancy,reno,Nancy,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,isolation OR MaPrimeRénov OR rénovation énergétique OR menuiserie,,,Chercher dans Ad Library + Maps: isolation OR MaPrimeRénov OR rénovation énergétique OR menuiserie / Nancy. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-035,[À TROUVER] Installateur solaire #1 — Argenteuil,solaire,Argenteuil,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,panneaux solaires OR photovoltaïque OR devis solaire,,,Chercher dans Ad Library + Maps: panneaux solaires OR photovoltaïque OR devis solaire / Argenteuil. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-036,[À TROUVER] Installateur pac_clim #1 — Saint-Denis,pac_clim,Saint-Denis,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Chercher dans Ad Library + Maps: pompe à chaleur OR climatisation OR chauffagiste RGE / Saint-Denis. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-037,[À TROUVER] Installateur pac_clim #1 — Montreuil,pac_clim,Montreuil,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Chercher dans Ad Library + Maps: pompe à chaleur OR climatisation OR chauffagiste RGE / Montreuil. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-038,[À TROUVER] Installateur pac_clim #1 — Avignon,pac_clim,Avignon,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Chercher dans Ad Library + Maps: pompe à chaleur OR climatisation OR chauffagiste RGE / Avignon. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-039,[À TROUVER] Installateur reno #1 — Poitiers,reno,Poitiers,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,isolation OR MaPrimeRénov OR rénovation énergétique OR menuiserie,,,Chercher dans Ad Library + Maps: isolation OR MaPrimeRénov OR rénovation énergétique OR menuiserie / Poitiers. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-040,[À TROUVER] Installateur solaire #1 — Versailles,solaire,Versailles,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,panneaux solaires OR photovoltaïque OR devis solaire,,,Chercher dans Ad Library + Maps: panneaux solaires OR photovoltaïque OR devis solaire / Versailles. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-041,[À TROUVER] Installateur pac_clim #1 — Pau,pac_clim,Pau,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Chercher dans Ad Library + Maps: pompe à chaleur OR climatisation OR chauffagiste RGE / Pau. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-042,[À TROUVER] Installateur pac_clim #1 — La Rochelle,pac_clim,La Rochelle,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Chercher dans Ad Library + Maps: pompe à chaleur OR climatisation OR chauffagiste RGE / La Rochelle. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-043,[À TROUVER] Installateur pac_clim #1 — Calais,pac_clim,Calais,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Chercher dans Ad Library + Maps: pompe à chaleur OR climatisation OR chauffagiste RGE / Calais. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-044,[À TROUVER] Installateur reno #1 — Cannes,reno,Cannes,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,isolation OR MaPrimeRénov OR rénovation énergétique OR menuiserie,,,Chercher dans Ad Library + Maps: isolation OR MaPrimeRénov OR rénovation énergétique OR menuiserie / Cannes. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-045,[À TROUVER] Installateur solaire #1 — Antibes,solaire,Antibes,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,panneaux solaires OR photovoltaïque OR devis solaire,,,Chercher dans Ad Library + Maps: panneaux solaires OR photovoltaïque OR devis solaire / Antibes. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-046,[À TROUVER] Installateur pac_clim #1 — Annecy,pac_clim,Annecy,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Chercher dans Ad Library + Maps: pompe à chaleur OR climatisation OR chauffagiste RGE / Annecy. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-047,[À TROUVER] Installateur pac_clim #1 — Valence,pac_clim,Valence,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Chercher dans Ad Library + Maps: pompe à chaleur OR climatisation OR chauffagiste RGE / Valence. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-048,[À TROUVER] Installateur pac_clim #1 — Bourges,pac_clim,Bourges,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Chercher dans Ad Library + Maps: pompe à chaleur OR climatisation OR chauffagiste RGE / Bourges. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-049,[À TROUVER] Installateur reno #1 — Troyes,reno,Troyes,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,isolation OR MaPrimeRénov OR rénovation énergétique OR menuiserie,,,Chercher dans Ad Library + Maps: isolation OR MaPrimeRénov OR rénovation énergétique OR menuiserie / Troyes. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-050,[À TROUVER] Installateur solaire #1 — Chambéry,solaire,Chambéry,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,panneaux solaires OR photovoltaïque OR devis solaire,,,Chercher dans Ad Library + Maps: panneaux solaires OR photovoltaïque OR devis solaire / Chambéry. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-051,[À TROUVER] Installateur pac_clim #1 — Bayonne,pac_clim,Bayonne,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Chercher dans Ad Library + Maps: pompe à chaleur OR climatisation OR chauffagiste RGE / Bayonne. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-052,[À TROUVER] Installateur pac_clim #1 — Colmar,pac_clim,Colmar,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Chercher dans Ad Library + Maps: pompe à chaleur OR climatisation OR chauffagiste RGE / Colmar. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-053,[À TROUVER] Installateur pac_clim #1 — Quimper,pac_clim,Quimper,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Chercher dans Ad Library + Maps: pompe à chaleur OR climatisation OR chauffagiste RGE / Quimper. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-054,[À TROUVER] Installateur reno #1 — Lorient,reno,Lorient,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,isolation OR MaPrimeRénov OR rénovation énergétique OR menuiserie,,,Chercher dans Ad Library + Maps: isolation OR MaPrimeRénov OR rénovation énergétique OR menuiserie / Lorient. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-055,[À TROUVER] Installateur solaire #1 — Ajaccio,solaire,Ajaccio,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,panneaux solaires OR photovoltaïque OR devis solaire,,,Chercher dans Ad Library + Maps: panneaux solaires OR photovoltaïque OR devis solaire / Ajaccio. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-056,[À TROUVER] Installateur pac_clim #1 — Chartres,pac_clim,Chartres,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Chercher dans Ad Library + Maps: pompe à chaleur OR climatisation OR chauffagiste RGE / Chartres. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-057,[À TROUVER] Installateur pac_clim #1 — Saint-Nazaire,pac_clim,Saint-Nazaire,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Chercher dans Ad Library + Maps: pompe à chaleur OR climatisation OR chauffagiste RGE / Saint-Nazaire. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
SLOT-058,[À TROUVER] Installateur pac_clim #1 — Vannes,pac_clim,Vannes,,,,,a_verifier,a_verifier,a_verifier,a_verifier,,A_RECHERCHER,maps_adlibrary_slot,pompe à chaleur OR climatisation OR chauffagiste RGE,,,Chercher dans Ad Library + Maps: pompe à chaleur OR climatisation OR chauffagiste RGE / Vannes. N'appeler que si score>=3.,2026-07-26,,,,,,,,,,0
